"hh_id","region","urban","sex_head","age_head","education_head","employment_type","asset_index","subjective_poverty","food_insecurity","household_size","program_access","chronic_illness"
38,"South","Rural","Female",69,"Primary","Formal","Low","Average","Secure",8,1,1
39,"North","Rural","Male",31,"None","Subsistence","Medium","Average","Secure",2,0,1
40,"North","Rural","Male",32,"None","Formal","Low","Poor","Secure",3,1,0
41,"Central","Rural","Female",40,"None","Formal","Medium","Well-off","Secure",8,1,0
42,"South","Urban","Female",52,"None","Formal","High","Poor","Secure",3,1,0
43,"South","Rural","Male",55,"Secondary+","Informal","Low","Average","Severe",10,1,0
44,"North","Urban","Male",34,"Primary","Formal","Medium","Well-off","Mild",3,0,0
45,"South","Rural","Female",47,"Primary","Formal","Low","Average","Severe",9,1,0
46,"North","Rural","Male",44,"None","Subsistence","Medium","Poor","Mild",1,0,0
47,"South","Rural","Male",59,"None","Subsistence","Low","Average","Secure",1,0,0
48,"Central","Urban","Male",58,"Primary","Formal","Medium","Poor","Secure",3,0,0
49,"North","Urban","Male",41,"Secondary+","Subsistence","Low","Poor","Severe",6,0,0
50,"Central","Rural","Male",46,"None","Formal","Medium","Average","Secure",2,0,0
51,"North","Rural","Male",53,"None","Subsistence","Low","Average","Moderate",4,0,0
52,"North","Urban","Female",25,"None","Subsistence","Medium","Well-off","Mild",6,0,0
53,"South","Urban","Male",41,"Primary","Informal","Medium","Poor","Secure",3,1,0
54,"North","Urban","Male",52,"Secondary+","Subsistence","High","Poor","Severe",2,0,0
55,"Central","Rural","Female",39,"Primary","Subsistence","Low","Poor","Moderate",1,0,0
56,"North","Rural","Male",44,"Primary","Subsistence","High","Poor","Secure",5,0,0
57,"North","Rural","Female",45,"Secondary+","Informal","Low","Well-off","Mild",7,1,0
58,"South","Urban","Female",36,"Primary","Informal","Low","Poor","Secure",9,1,0
59,"North","Rural","Male",33,"None","Subsistence","High","Poor","Mild",1,0,0
60,"Central","Urban","Male",43,"None","Formal","Medium","Poor","Moderate",4,0,1
61,"North","Urban","Female",41,"None","Informal","Low","Average","Mild",1,1,0
62,"South","Urban","Female",55,"Primary","Formal","Medium","Poor","Severe",5,0,0
63,"North","Rural","Male",63,"Primary","Subsistence","Low","Poor","Severe",3,0,0
64,"South","Urban","Female",45,"None","Subsistence","High","Well-off","Secure",1,1,0
65,"Central","Urban","Female",50,"None","Subsistence","Medium","Average","Moderate",6,0,0
66,"South","Urban","Male",44,"None","Subsistence","Low","Poor","Secure",8,1,0
67,"Central","Rural","Male",52,"Secondary+","Informal","Low","Average","Mild",1,1,1
68,"Central","Rural","Male",48,"None","Subsistence","Medium","Well-off","Severe",3,0,0
69,"South","Rural","Female",48,"Primary","Formal","Medium","Poor","Mild",10,1,0
70,"Central","Urban","Male",58,"Secondary+","Formal","Low","Average","Secure",3,1,0
71,"Central","Rural","Male",33,"None","Subsistence","Medium","Well-off","Moderate",6,0,0
72,"South","Rural","Male",62,"Primary","Informal","Low","Average","Secure",3,0,0
73,"South","Rural","Female",49,"None","Formal","High","Well-off","Secure",7,0,0
74,"North","Rural","Male",47,"Secondary+","Informal","High","Average","Moderate",2,0,0
75,"Central","Rural","Male",38,"None","Formal","High","Average","Moderate",3,0,0
76,"Central","Urban","Female",43,"Secondary+","Subsistence","Low","Well-off","Moderate",3,1,0
77,"North","Rural","Male",49,"Secondary+","Subsistence","Low","Average","Secure",8,0,0
78,"Central","Urban","Female",20,"Primary","Formal","Medium","Poor","Mild",6,1,0
79,"North","Urban","Female",38,"Primary","Informal","Medium","Well-off","Moderate",2,0,0
80,"North","Rural","Male",52,"Primary","Formal","High","Average","Severe",5,0,0
81,"Central","Rural","Male",41,"Primary","Subsistence","Low","Average","Mild",1,0,1
82,"South","Rural","Male",35,"None","Subsistence","Low","Average","Secure",5,0,0
83,"South","Urban","Male",37,"None","Informal","High","Average","Secure",2,1,1
84,"North","Rural","Female",48,"None","Informal","Medium","Poor","Secure",7,1,1
85,"Central","Urban","Male",25,"Secondary+","Formal","High","Well-off","Secure",1,1,0
86,"North","Rural","Female",55,"Secondary+","Informal","Low","Poor","Severe",1,0,0
87,"Central","Rural","Male",19,"Secondary+","Informal","High","Well-off","Secure",10,1,0
88,"North","Rural","Male",39,"Secondary+","Formal","Medium","Well-off","Severe",2,1,0
89,"South","Rural","Male",36,"None","Formal","Medium","Average","Moderate",10,0,0
90,"South","Rural","Male",30,"None","Subsistence","Medium","Poor","Moderate",8,1,0
91,"Central","Rural","Male",32,"Primary","Subsistence","Medium","Average","Severe",5,0,0
92,"South","Urban","Male",48,"Secondary+","Subsistence","Medium","Poor","Mild",4,0,0
93,"North","Rural","Female",44,"Primary","Formal","Low","Poor","Secure",8,0,1
94,"Central","Urban","Female",41,"Secondary+","Subsistence","Low","Average","Moderate",8,0,0
95,"Central","Rural","Male",17,"None","Formal","High","Poor","Secure",5,1,0
96,"South","Rural","Male",29,"Secondary+","Subsistence","Medium","Average","Secure",3,0,0
97,"Central","Rural","Male",43,"Secondary+","Formal","Low","Poor","Moderate",10,1,0
98,"North","Rural","Female",34,"None","Formal","Low","Well-off","Moderate",7,1,1
99,"South","Rural","Male",35,"Primary","Informal","Low","Poor","Secure",7,1,0
100,"South","Rural","Male",58,"None","Formal","Low","Well-off","Mild",7,1,0
101,"South","Urban","Female",47,"None","Formal","Medium","Average","Mild",1,0,0
102,"Central","Rural","Male",32,"None","Formal","High","Well-off","Mild",1,0,0
103,"Central","Rural","Male",39,"None","Informal","Low","Well-off","Moderate",8,0,0
104,"South","Rural","Female",42,"None","Informal","Low","Well-off","Mild",4,1,0
105,"North","Rural","Female",37,"Primary","Informal","Medium","Poor","Severe",3,0,0
106,"North","Rural","Male",33,"Secondary+","Subsistence","Medium","Well-off","Moderate",10,1,0
107,"South","Urban","Male",44,"Primary","Subsistence","High","Average","Mild",3,0,0
108,"Central","Urban","Female",54,"Primary","Subsistence","Medium","Well-off","Mild",1,0,0
109,"Central","Rural","Male",48,"None","Subsistence","High","Average","Mild",8,0,0
110,"Central","Rural","Female",43,"Secondary+","Informal","Medium","Average","Moderate",3,0,0
111,"Central","Rural","Male",50,"Secondary+","Informal","Low","Well-off","Secure",9,0,0
112,"Central","Urban","Male",55,"Primary","Informal","High","Well-off","Secure",3,0,0
113,"Central","Urban","Male",43,"Secondary+","Formal","Low","Well-off","Secure",5,0,0
114,"South","Urban","Male",50,"None","Subsistence","Medium","Average","Mild",9,0,0
115,"Central","Urban","Female",31,"Primary","Subsistence","Low","Poor","Moderate",3,0,1
116,"North","Urban","Male",42,"Secondary+","Informal","Medium","Poor","Mild",4,0,1
117,"Central","Rural","Male",40,"None","Formal","High","Average","Moderate",4,0,0
118,"Central","Rural","Male",47,"Secondary+","Informal","Low","Well-off","Severe",3,1,0
119,"Central","Urban","Female",49,"Primary","Subsistence","Medium","Average","Moderate",5,0,0
120,"South","Rural","Male",44,"None","Subsistence","Low","Well-off","Moderate",4,1,0
121,"Central","Rural","Female",36,"None","Subsistence","Medium","Well-off","Moderate",5,0,0
122,"South","Urban","Male",34,"None","Subsistence","Low","Well-off","Moderate",1,1,0
123,"Central","Urban","Female",48,"Secondary+","Subsistence","Low","Average","Severe",4,0,1
124,"South","Urban","Male",61,"Secondary+","Informal","Medium","Poor","Severe",1,0,1
125,"North","Rural","Female",36,"Primary","Formal","Low","Average","Secure",2,0,0
126,"South","Rural","Male",40,"None","Informal","High","Well-off","Secure",6,0,0
127,"South","Urban","Male",49,"None","Subsistence","Medium","Poor","Secure",4,1,0
128,"South","Rural","Female",38,"None","Subsistence","Low","Poor","Mild",5,0,0
129,"North","Rural","Male",46,"Primary","Subsistence","High","Well-off","Severe",2,1,1
130,"South","Rural","Male",44,"Secondary+","Subsistence","Low","Average","Secure",9,0,0
131,"South","Rural","Female",36,"Primary","Subsistence","Low","Poor","Moderate",10,0,0
132,"Central","Urban","Male",55,"Secondary+","Subsistence","Low","Poor","Severe",5,1,1
133,"Central","Rural","Female",55,"Primary","Subsistence","Low","Average","Moderate",9,0,0
134,"Central","Urban","Male",57,"None","Informal","Low","Average","Mild",4,1,0
135,"South","Rural","Female",60,"Primary","Informal","High","Poor","Secure",1,0,0
136,"South","Rural","Female",39,"Primary","Informal","High","Poor","Mild",10,1,0
137,"South","Urban","Male",39,"None","Formal","High","Well-off","Mild",7,0,1
138,"Central","Rural","Female",48,"Secondary+","Informal","Medium","Average","Secure",1,0,0
139,"North","Urban","Male",53,"Secondary+","Formal","Low","Poor","Severe",10,1,0
140,"Central","Rural","Male",41,"None","Subsistence","High","Average","Secure",2,0,0
141,"North","Rural","Female",40,"Primary","Subsistence","Medium","Average","Mild",2,0,0
142,"South","Rural","Male",38,"Primary","Subsistence","Medium","Average","Severe",10,1,0
143,"South","Rural","Male",63,"Primary","Informal","Medium","Average","Secure",3,1,0
144,"Central","Urban","Male",15,"Secondary+","Informal","Low","Poor","Moderate",10,1,1
145,"North","Rural","Female",43,"Primary","Subsistence","Medium","Poor","Severe",6,1,0
146,"South","Urban","Female",45,"Primary","Subsistence","Medium","Well-off","Secure",6,0,0
147,"North","Rural","Male",32,"Secondary+","Subsistence","Medium","Poor","Moderate",8,0,0
148,"South","Rural","Male",50,"Primary","Subsistence","Low","Poor","Moderate",1,0,0
149,"Central","Urban","Male",21,"Primary","Informal","Low","Well-off","Severe",1,0,0
150,"Central","Rural","Male",56,"Primary","Subsistence","Medium","Poor","Moderate",3,0,0
151,"North","Rural","Male",25,"Secondary+","Formal","High","Poor","Mild",2,0,0
152,"South","Urban","Male",19,"Secondary+","Informal","Medium","Well-off","Severe",1,0,0
153,"Central","Urban","Female",36,"Secondary+","Subsistence","Low","Well-off","Mild",4,0,0
154,"North","Rural","Male",47,"None","Formal","Medium","Poor","Moderate",5,0,1
155,"South","Rural","Male",37,"None","Informal","Medium","Poor","Severe",1,0,0
156,"South","Urban","Male",38,"None","Informal","Low","Well-off","Severe",7,0,0
157,"South","Urban","Male",49,"Secondary+","Formal","Medium","Average","Severe",6,1,0
158,"North","Urban","Male",32,"Secondary+","Formal","High","Well-off","Mild",5,0,0
159,"Central","Rural","Male",44,"None","Subsistence","Low","Well-off","Mild",6,0,0
160,"Central","Urban","Female",51,"Primary","Formal","High","Average","Secure",8,0,0
161,"North","Rural","Male",65,"Primary","Informal","High","Poor","Secure",10,0,1
162,"Central","Rural","Male",51,"None","Informal","Low","Average","Mild",1,1,0
163,"South","Rural","Male",66,"Primary","Formal","High","Well-off","Mild",4,0,0
164,"South","Rural","Female",50,"None","Subsistence","Medium","Well-off","Secure",3,0,0
165,"North","Urban","Male",45,"None","Subsistence","High","Well-off","Mild",4,1,1
166,"Central","Urban","Male",18,"Secondary+","Subsistence","High","Average","Mild",2,1,0
167,"North","Urban","Male",30,"Primary","Subsistence","Medium","Poor","Secure",6,0,0
168,"Central","Rural","Male",41,"Primary","Subsistence","High","Well-off","Moderate",1,0,0
169,"South","Urban","Male",54,"None","Informal","Medium","Average","Moderate",3,0,0
170,"South","Urban","Male",41,"Primary","Formal","Low","Poor","Moderate",4,0,0
171,"North","Urban","Female",52,"Primary","Formal","Low","Poor","Moderate",7,0,0
172,"South","Rural","Male",32,"None","Informal","High","Average","Severe",5,0,0
173,"Central","Urban","Male",42,"None","Subsistence","Low","Average","Secure",1,1,0
174,"North","Rural","Female",48,"None","Formal","Low","Well-off","Secure",10,1,0
175,"North","Urban","Male",41,"Primary","Informal","High","Poor","Mild",7,0,0
176,"Central","Rural","Female",46,"Primary","Subsistence","Medium","Average","Secure",2,0,0
177,"South","Rural","Male",37,"Secondary+","Informal","High","Average","Secure",9,0,0
178,"North","Urban","Male",49,"None","Informal","Medium","Poor","Secure",5,0,0
179,"Central","Urban","Female",44,"Secondary+","Formal","Medium","Poor","Mild",3,0,0
180,"Central","Rural","Male",44,"Primary","Formal","Low","Well-off","Moderate",9,0,0
181,"North","Rural","Female",22,"Secondary+","Formal","Medium","Average","Secure",8,1,0
182,"Central","Rural","Male",37,"Secondary+","Subsistence","Medium","Well-off","Secure",6,0,1
183,"North","Rural","Male",27,"None","Subsistence","Low","Poor","Mild",6,0,0
184,"North","Urban","Male",26,"Secondary+","Formal","Low","Average","Mild",7,1,0
185,"Central","Urban","Female",39,"None","Formal","High","Poor","Mild",2,1,1
186,"North","Rural","Male",43,"Secondary+","Formal","Low","Well-off","Secure",5,0,0
187,"South","Urban","Male",48,"Secondary+","Formal","Medium","Poor","Severe",3,0,0
188,"North","Urban","Male",58,"Secondary+","Informal","Medium","Poor","Moderate",1,0,1
189,"North","Urban","Female",50,"Secondary+","Formal","Low","Average","Secure",9,0,0
190,"Central","Rural","Male",57,"None","Informal","Medium","Well-off","Secure",5,0,0
191,"North","Rural","Male",39,"None","Formal","Medium","Poor","Mild",8,1,1
192,"Central","Rural","Male",41,"Primary","Formal","High","Poor","Mild",1,0,0
193,"North","Rural","Male",58,"Primary","Formal","Low","Poor","Moderate",10,0,1
194,"North","Rural","Male",45,"Primary","Informal","Medium","Well-off","Mild",9,0,0
195,"North","Rural","Female",25,"Primary","Subsistence","Medium","Poor","Moderate",1,1,0
196,"South","Rural","Male",35,"Primary","Subsistence","Low","Poor","Moderate",6,0,0
197,"South","Urban","Female",57,"Primary","Informal","High","Poor","Secure",2,0,1
198,"Central","Rural","Male",38,"Primary","Subsistence","Low","Poor","Mild",6,0,1
199,"North","Rural","Female",49,"None","Subsistence","Medium","Poor","Mild",1,0,0
200,"Central","Rural","Male",45,"Secondary+","Subsistence","High","Well-off","Secure",5,1,0
201,"South","Urban","Male",39,"Primary","Informal","Low","Well-off","Secure",10,0,1
202,"Central","Rural","Male",41,"None","Informal","High","Average","Moderate",3,0,0
203,"South","Rural","Male",50,"None","Informal","Medium","Average","Secure",5,0,1
204,"Central","Rural","Female",48,"None","Formal","High","Poor","Mild",2,0,0
205,"South","Urban","Female",60,"Primary","Subsistence","Medium","Average","Mild",3,0,0
206,"North","Rural","Male",43,"Secondary+","Subsistence","Medium","Well-off","Mild",8,0,0
207,"North","Urban","Male",34,"Primary","Informal","Low","Average","Secure",5,0,0
208,"North","Urban","Male",47,"Secondary+","Subsistence","Medium","Well-off","Secure",5,0,0
209,"North","Rural","Male",53,"None","Informal","Medium","Poor","Moderate",3,1,1
210,"South","Rural","Male",72,"Secondary+","Informal","High","Well-off","Severe",2,0,0
211,"Central","Rural","Female",39,"Primary","Subsistence","High","Poor","Secure",8,0,0
212,"North","Urban","Male",41,"Primary","Formal","Low","Well-off","Secure",9,0,0
213,"Central","Rural","Female",56,"None","Subsistence","High","Poor","Mild",4,0,1
214,"North","Rural","Male",60,"Secondary+","Subsistence","High","Well-off","Moderate",9,1,0
215,"South","Rural","Female",37,"Secondary+","Formal","Low","Well-off","Mild",8,0,1
216,"South","Urban","Male",53,"Secondary+","Subsistence","Medium","Well-off","Moderate",7,0,0
217,"North","Rural","Male",38,"Secondary+","Subsistence","Low","Well-off","Secure",4,0,0
218,"Central","Rural","Male",33,"Secondary+","Subsistence","Low","Average","Secure",3,0,0
219,"South","Rural","Male",52,"None","Informal","Low","Well-off","Severe",6,0,0
220,"North","Urban","Female",46,"Primary","Informal","High","Well-off","Mild",5,0,0
221,"South","Rural","Male",50,"Secondary+","Subsistence","High","Poor","Severe",8,0,1
222,"Central","Urban","Male",38,"Secondary+","Informal","Low","Well-off","Moderate",6,0,1
223,"North","Rural","Male",67,"Primary","Informal","Medium","Poor","Severe",3,0,0
224,"North","Rural","Male",53,"None","Informal","Medium","Poor","Moderate",8,0,0
225,"North","Urban","Female",41,"Secondary+","Informal","Low","Poor","Secure",6,0,1
226,"North","Rural","Male",53,"Primary","Informal","Medium","Average","Secure",6,0,0
227,"North","Urban","Female",30,"None","Informal","High","Well-off","Severe",3,0,0
228,"South","Rural","Female",43,"Secondary+","Informal","Medium","Well-off","Mild",4,0,0
229,"Central","Rural","Female",62,"Secondary+","Formal","Low","Average","Severe",8,0,0
230,"Central","Rural","Male",43,"Secondary+","Subsistence","Low","Well-off","Mild",2,0,0
231,"Central","Urban","Male",56,"None","Formal","Medium","Poor","Severe",10,1,0
232,"South","Urban","Male",42,"None","Formal","Medium","Well-off","Mild",3,1,0
233,"North","Rural","Male",17,"Primary","Formal","High","Poor","Secure",6,0,0
234,"Central","Rural","Male",34,"None","Informal","Low","Poor","Secure",1,0,0
235,"Central","Rural","Female",48,"Primary","Informal","Medium","Poor","Moderate",4,0,0
236,"North","Rural","Male",62,"Secondary+","Subsistence","Low","Well-off","Severe",7,0,0
237,"Central","Rural","Female",38,"None","Formal","High","Average","Moderate",5,0,1
238,"North","Rural","Male",48,"None","Subsistence","Low","Poor","Moderate",5,1,1
239,"North","Urban","Male",33,"Secondary+","Informal","Low","Well-off","Secure",1,0,0
240,"Central","Rural","Female",33,"None","Formal","Low","Poor","Secure",3,1,0
241,"South","Rural","Male",36,"Primary","Formal","High","Well-off","Moderate",6,1,0
242,"North","Urban","Male",61,"None","Subsistence","Low","Poor","Secure",10,0,0
243,"South","Rural","Female",56,"None","Subsistence","Medium","Well-off","Mild",9,0,0
244,"North","Urban","Female",52,"Secondary+","Subsistence","High","Well-off","Mild",8,1,0
245,"Central","Rural","Female",58,"Secondary+","Subsistence","Low","Poor","Mild",5,1,0
246,"North","Urban","Female",40,"Primary","Subsistence","High","Average","Secure",6,0,0
247,"Central","Urban","Male",54,"Primary","Informal","Medium","Average","Moderate",3,0,0
248,"Central","Urban","Female",48,"Primary","Subsistence","Medium","Poor","Secure",7,0,0
249,"Central","Urban","Female",32,"Primary","Subsistence","High","Average","Severe",5,0,0
250,"South","Rural","Male",35,"Secondary+","Subsistence","High","Poor","Moderate",6,0,0
251,"North","Urban","Male",46,"None","Formal","Low","Poor","Secure",6,1,0
252,"North","Rural","Male",47,"Secondary+","Formal","High","Well-off","Mild",10,0,0
253,"North","Rural","Female",41,"None","Subsistence","Medium","Well-off","Mild",3,0,0
254,"North","Rural","Male",33,"Primary","Formal","High","Well-off","Mild",5,1,0
255,"South","Urban","Male",20,"Primary","Subsistence","Low","Poor","Severe",4,1,0
256,"North","Rural","Male",50,"Secondary+","Subsistence","Low","Well-off","Secure",6,0,1
257,"Central","Urban","Male",41,"None","Subsistence","Medium","Average","Secure",10,0,0
258,"North","Urban","Female",52,"Secondary+","Informal","High","Average","Mild",10,1,0
259,"Central","Rural","Male",26,"Secondary+","Informal","Medium","Poor","Secure",2,1,0
260,"Central","Rural","Male",30,"None","Informal","Medium","Average","Secure",10,1,1
261,"North","Rural","Male",44,"Primary","Formal","Medium","Poor","Mild",10,1,0
262,"North","Urban","Male",28,"None","Formal","Medium","Poor","Secure",3,0,0
263,"North","Rural","Male",21,"None","Formal","Low","Average","Moderate",3,0,0
264,"North","Rural","Female",54,"Secondary+","Informal","Medium","Well-off","Secure",8,1,0
265,"South","Rural","Male",56,"None","Subsistence","Low","Poor","Severe",10,1,0
266,"North","Rural","Male",33,"None","Informal","Medium","Average","Moderate",10,0,0
267,"North","Urban","Male",42,"Primary","Subsistence","Medium","Well-off","Mild",2,0,0
268,"North","Rural","Female",31,"None","Subsistence","Low","Well-off","Moderate",4,0,0
269,"Central","Urban","Male",49,"Primary","Subsistence","High","Poor","Moderate",2,1,1
270,"Central","Urban","Male",45,"Secondary+","Subsistence","High","Well-off","Moderate",1,0,1
271,"South","Rural","Female",35,"Primary","Subsistence","Low","Average","Secure",9,0,1
272,"Central","Rural","Male",36,"Secondary+","Subsistence","Low","Poor","Secure",4,0,0
273,"South","Rural","Male",32,"Primary","Informal","High","Well-off","Secure",8,0,0
274,"North","Rural","Female",50,"None","Formal","Low","Well-off","Mild",10,0,0
275,"North","Urban","Male",52,"Primary","Formal","Medium","Average","Secure",6,0,0
276,"North","Rural","Female",50,"Secondary+","Informal","Low","Well-off","Mild",2,1,0
277,"North","Urban","Female",35,"Secondary+","Formal","Medium","Average","Severe",6,0,0
278,"North","Urban","Female",24,"Primary","Formal","Low","Average","Moderate",9,0,1
279,"South","Rural","Female",51,"Primary","Subsistence","High","Well-off","Secure",3,0,0
280,"North","Urban","Male",43,"None","Informal","Medium","Average","Moderate",9,0,0
281,"North","Rural","Male",45,"Primary","Formal","High","Poor","Mild",3,1,1
282,"South","Urban","Male",57,"Secondary+","Informal","Medium","Poor","Moderate",6,0,0
283,"South","Rural","Male",34,"None","Subsistence","Low","Poor","Severe",8,0,0
284,"Central","Rural","Female",59,"Secondary+","Formal","Low","Poor","Secure",7,0,0
285,"North","Rural","Male",40,"None","Formal","Medium","Well-off","Moderate",2,0,0
286,"North","Urban","Female",36,"Secondary+","Informal","Medium","Poor","Secure",8,0,0
287,"North","Rural","Male",43,"None","Informal","High","Average","Moderate",1,1,0
288,"Central","Urban","Male",50,"None","Formal","Low","Well-off","Secure",1,0,0
289,"North","Rural","Female",43,"None","Informal","Low","Average","Secure",8,0,0
290,"Central","Urban","Female",34,"Secondary+","Subsistence","Medium","Well-off","Secure",4,0,0
291,"North","Rural","Male",42,"Primary","Informal","Medium","Average","Moderate",9,1,0
292,"North","Rural","Male",14,"Primary","Formal","High","Well-off","Moderate",6,1,1
293,"South","Rural","Male",39,"Primary","Informal","Medium","Average","Moderate",1,0,0
294,"South","Urban","Female",50,"Primary","Subsistence","High","Poor","Severe",10,0,0
295,"Central","Rural","Male",43,"Secondary+","Subsistence","Low","Average","Secure",7,0,0
296,"Central","Rural","Male",53,"Primary","Subsistence","High","Average","Moderate",8,0,1
297,"North","Urban","Female",51,"Secondary+","Subsistence","High","Well-off","Mild",2,0,0
298,"South","Rural","Male",53,"None","Formal","Low","Average","Moderate",8,0,0
299,"North","Urban","Female",53,"None","Formal","Medium","Average","Secure",6,1,0
300,"North","Rural","Male",24,"None","Formal","Low","Average","Secure",4,0,0
301,"Central","Rural","Male",45,"Secondary+","Formal","Low","Average","Secure",10,1,1
302,"North","Rural","Male",65,"None","Formal","Medium","Poor","Secure",1,0,0
303,"Central","Rural","Male",39,"None","Formal","High","Well-off","Mild",10,0,0
304,"Central","Urban","Male",50,"Secondary+","Formal","Low","Well-off","Secure",6,0,0
305,"Central","Rural","Female",47,"Secondary+","Subsistence","High","Average","Moderate",10,0,0
306,"Central","Rural","Male",52,"Secondary+","Subsistence","High","Average","Severe",1,1,0
307,"South","Rural","Male",42,"None","Informal","High","Well-off","Secure",6,1,0
308,"South","Rural","Male",37,"Primary","Informal","Low","Poor","Severe",8,1,0
309,"South","Rural","Female",46,"None","Informal","High","Average","Secure",2,0,0
310,"South","Urban","Female",47,"Secondary+","Informal","Medium","Poor","Moderate",6,0,0
311,"North","Rural","Male",43,"Secondary+","Formal","Low","Well-off","Mild",4,0,0
312,"South","Urban","Male",45,"Primary","Informal","Low","Well-off","Moderate",8,0,0
313,"South","Urban","Female",50,"Secondary+","Formal","Medium","Poor","Secure",6,0,0
314,"South","Rural","Male",36,"Primary","Informal","Low","Average","Moderate",3,0,1
315,"Central","Rural","Male",59,"None","Formal","Medium","Well-off","Mild",9,1,0
316,"South","Urban","Male",71,"Primary","Informal","Medium","Average","Secure",1,0,0
317,"South","Rural","Male",63,"Secondary+","Subsistence","Low","Average","Moderate",9,0,0
318,"South","Rural","Male",40,"Primary","Subsistence","Low","Poor","Moderate",1,0,1
319,"North","Rural","Male",23,"Secondary+","Subsistence","High","Well-off","Secure",4,1,0
320,"North","Rural","Female",46,"Secondary+","Subsistence","High","Average","Moderate",2,1,1
321,"South","Rural","Male",56,"Primary","Formal","Low","Average","Mild",6,1,0
322,"Central","Urban","Female",54,"Primary","Subsistence","Low","Poor","Severe",9,0,0
323,"South","Rural","Male",30,"Secondary+","Informal","Low","Well-off","Secure",6,0,0
324,"Central","Rural","Male",32,"Secondary+","Informal","Medium","Average","Moderate",1,0,0
325,"North","Rural","Female",47,"None","Subsistence","Medium","Poor","Secure",9,0,1
326,"Central","Urban","Male",53,"Secondary+","Formal","Low","Average","Mild",3,1,0
327,"Central","Rural","Female",55,"None","Formal","Medium","Poor","Moderate",8,0,0
328,"Central","Rural","Male",55,"None","Informal","High","Average","Severe",6,0,1
329,"North","Rural","Male",33,"Secondary+","Informal","High","Well-off","Moderate",2,0,0
330,"North","Rural","Male",29,"None","Subsistence","Low","Poor","Secure",5,0,1
331,"North","Rural","Male",21,"None","Informal","Low","Average","Mild",1,1,0
332,"South","Rural","Male",51,"Secondary+","Formal","High","Poor","Mild",10,1,0
333,"South","Rural","Male",55,"None","Subsistence","High","Well-off","Moderate",1,1,0
334,"North","Rural","Female",49,"Primary","Informal","Low","Average","Secure",10,0,0
335,"North","Rural","Male",32,"Primary","Subsistence","Medium","Average","Severe",10,0,0
